"","","","","","001","","001","","001","","002","","002","","002","","003","","003","","003","","004","","004","","004","","005","","005","","005","","006","","006","","006","","007","","007","","007","","008","","008","","008","","009","","009","","009",""
"","","","","/実数・移動率・日本人人口","実数　都道府県（自都市）内移動者","","実数　都道府県（自都市）内移動者","","実数　都道府県（自都市）内移動者","","実数　他都道府県（他市町村）からの転入者","","実数　他都道府県（他市町村）からの転入者","","実数　他都道府県（他市町村）からの転入者","","実数　他都道府県（他市町村）への転出者","","実数　他都道府県（他市町村）への転出者","","実数　他都道府県（他市町村）への転出者","","実数　転入超過","","実数　転入超過","","実数　転入超過","","移動率　都道府県（自都市）内移動者【％】","","移動率　都道府県（自都市）内移動者【％】","","移動率　都道府県（自都市）内移動者【％】","","移動率　他都道府県（他市町村）からの転入者【％】","","移動率　他都道府県（他市町村）からの転入者【％】","","移動率　他都道府県（他市町村）からの転入者【％】","","移動率　他都道府県（他市町村）への転出者【％】","","移動率　他都道府県（他市町村）への転出者【％】","","移動率　他都道府県（他市町村）への転出者【％】","","移動率　転入超過【％】","","移動率　転入超過【％】","","移動率　転入超過【％】","","日本人人口【千人】","","日本人人口【千人】","","日本人人口【千人】",""
"","","","","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057",""
"国籍 コード","国籍","全国・都道府県・大都市4 コード","全国・都道府県・大都市4","/推移2","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈"
"61000","日本人移動者","42000","長崎県","","22081","","21185","","-896","","22919","","22105","","-814","","28767","","27678","","-1089","","-5848","","-5573","","275","","1.61","","1.56","","***","","1.67","","1.63","","***","","2.10","","2.04","","***","","-0.43","","-0.41","","***","","1369","","1358","","***",""
"61000","日本人移動者","43000","熊本県","","45553","","47834","","2281","","27916","","26003","","-1913","","31849","","32794","","945","","-3933","","-6791","","-2858","","2.56","","2.71","","***","","1.57","","1.47","","***","","1.79","","1.86","","***","","-0.22","","-0.38","","***","","1778","","1765","","***",""
"61000","日本人移動者","44000","大分県","","16135","","15362","","-773","","18391","","17852","","-539","","20803","","20460","","-343","","-2412","","-2608","","-196","","1.39","","1.34","","***","","1.59","","1.55","","***","","1.80","","1.78","","***","","-0.21","","-0.23","","***","","1158","","1150","","***",""
"61000","日本人移動者","45000","宮崎県","","17072","","16517","","-555","","18326","","17404","","-922","","21788","","21692","","-96","","-3462","","-4288","","-826","","1.55","","1.51","","***","","1.67","","1.59","","***","","1.98","","1.99","","***","","-0.31","","-0.39","","***","","1100","","1092","","***",""
"61000","日本人移動者","46000","鹿児島県","","35090","","33942","","-1148","","26451","","25811","","-640","","31749","","30284","","-1465","","-5298","","-4473","","825","","2.14","","2.08","","***","","1.61","","1.58","","***","","1.93","","1.86","","***","","-0.32","","-0.27","","***","","1642","","1630","","***",""
"61000","日本人移動者","47000","沖縄県","","45340","","45464","","124","","25441","","24574","","-867","","25425","","24846","","-579","","16","","-272","","-288","","3.19","","3.19","","***","","1.79","","1.72","","***","","1.79","","1.74","","***","","0.00","","-0.02","","***","","1422","","1427","","***",""
"61000","日本人移動者","00416","21大都市計","","759416","","726862","","-32554","","1306394","","1263682","","-42712","","1181098","","1157865","","-23233","","125296","","105817","","-19479","","2.11","","2.02","","***","","3.63","","3.52","","***","","3.28","","3.22","","***","","0.35","","0.29","","***","","35984","","35919","","***",""
"61000","日本人移動者","01100","札幌市","","57517","","55376","","-2141","","63415","","62960","","-455","","55242","","53823","","-1419","","8173","","9137","","964","","2.96","","2.84","","***","","3.26","","3.23","","***","","2.84","","2.76","","***","","0.42","","0.47","","***","","1944","","1947","","***",""
"61000","日本人移動者","04100","仙台市","","22065","","20467","","-1598","","44163","","42551","","-1612","","42933","","41585","","-1348","","1230","","966","","-264","","2.06","","1.91","","***","","4.12","","3.97","","***","","4.00","","3.88","","***","","0.11","","0.09","","***","","1073","","1073","","***",""
"61000","日本人移動者","11100","さいたま市","","18239","","17692","","-547","","52496","","52542","","46","","45575","","43887","","-1688","","6921","","8655","","1734","","1.46","","1.41","","***","","4.20","","4.19","","***","","3.65","","3.50","","***","","0.55","","0.69","","***","","1250","","1255","","***",""
"61000","日本人移動者","12100","千葉市","","12208","","10926","","-1282","","35293","","33617","","-1676","","33656","","32751","","-905","","1637","","866","","-771","","1.28","","1.15","","***","","3.70","","3.53","","***","","3.52","","3.44","","***","","0.17","","0.09","","***","","955","","951","","***",""
"61000","日本人移動者","13100","東京都特別区部","","247786","","237045","","-10741","","368423","","354701","","-13722","","299506","","296494","","-3012","","68917","","58207","","-10710","","2.77","","2.64","","***","","4.12","","3.96","","***","","3.35","","3.31","","***","","0.77","","0.65","","***","","8950","","8967","","***",""
"61000","日本人移動者","14100","横浜市","","69277","","64915","","-4362","","118410","","114062","","-4348","","114384","","111151","","-3233","","4026","","2911","","-1115","","1.90","","1.78","","***","","3.24","","3.13","","***","","3.13","","3.05","","***","","0.11","","0.08","","***","","3655","","3644","","***",""
"61000","日本人移動者","14130","川崎市","","17526","","16225","","-1301","","75891","","74053","","-1838","","68022","","67214","","-808","","7869","","6839","","-1030","","1.21","","1.12","","***","","5.23","","5.09","","***","","4.69","","4.62","","***","","0.54","","0.47","","***","","1450","","1454","","***",""
"61000","日本人移動者","14150","相模原市","","5482","","5177","","-305","","24594","","23034","","-1560","","23718","","23439","","-279","","876","","-405","","-1281","","0.77","","0.73","","***","","3.46","","3.25","","***","","3.34","","3.31","","***","","0.12","","-0.06","","***","","711","","709","","***",""
"61000","日本人移動者","15100","新潟市","","11597","","11120","","-477","","17921","","16837","","-1084","","17722","","17208","","-514","","199","","-371","","-570","","1.44","","1.39","","***","","2.22","","2.10","","***","","2.20","","2.15","","***","","0.02","","-0.05","","***","","806","","802","","***",""
"61000","日本人移動者","22100","静岡市","","7113","","7145","","32","","16231","","15722","","-509","","17399","","16533","","-866","","-1168","","-811","","357","","1.02","","1.03","","***","","2.33","","2.27","","***","","2.49","","2.39","","***","","-0.17","","-0.12","","***","","698","","693","","***",""
"61000","日本人移動者","22130","浜松市","","14810","","13719","","-1091","","16722","","15915","","-807","","17026","","16521","","-505","","-304","","-606","","-302","","1.90","","1.77","","***","","2.14","","2.05","","***","","2.18","","2.13","","***","","-0.04","","-0.08","","***","","781","","775","","***",""
"61000","日本人移動者","23100","名古屋市","","50314","","48680","","-1634","","82075","","79730","","-2345","","74799","","73780","","-1019","","7276","","5950","","-1326","","2.25","","2.18","","***","","3.67","","3.57","","***","","3.34","","3.30","","***","","0.32","","0.27","","***","","2239","","2233","","***",""
"61000","日本人移動者","26100","京都市","","27260","","26164","","-1096","","42731","","41198","","-1533","","41102","","40608","","-494","","1629","","590","","-1039","","1.89","","1.83","","***","","2.97","","2.88","","***","","2.85","","2.84","","***","","0.11","","0.04","","***","","1440","","1432","","***",""
